idx;nome;lider;prioridade;total;saved;apex;edit_inicio;edit_fim;tr_inicio;tr_fim;relatorios_line;arquivo_env;arquivo_script
1;RELATORIO_01_Walceir_P1;Walceir;P1;45;96443782140269930;35932200234408468;0;5;9;47;"RELATORIO_01_Walceir_P1|35932200234408468|96443782140269930|0|5|9|47;";env_WALCEIR_P1.env;GTN_RELATORIO_01_Walceir_P1.py
2;RELATORIO_02_Walceir_P2;Walceir;P2;38;96445783233272755;35932200234408468;0;5;9;40;"RELATORIO_02_Walceir_P2|35932200234408468|96445783233272755|0|5|9|40;";env_WALCEIR_P2.env;GTN_RELATORIO_02_Walceir_P2.py
3;RELATORIO_03_Walceir_P3;Walceir;P3;27;96447734078275977;35932200234408468;0;5;9;29;"RELATORIO_03_Walceir_P3|35932200234408468|96447734078275977|0|5|9|29;";env_WALCEIR_P3.env;GTN_RELATORIO_03_Walceir_P3.py
4;RELATORIO_04_Walceir_P9;Walceir;P9;148;96461147945312616;35932200234408468;0;5;9;150;"RELATORIO_04_Walceir_P9|35932200234408468|96461147945312616|0|5|9|150;";env_WALCEIR_P9.env;GTN_RELATORIO_04_Walceir_P9.py
5;RELATORIO_05_LucasRamos_P1;LucasRamos;P1;88;96466495992333195;35932200234408468;0;5;9;90;"RELATORIO_05_LucasRamos_P1|35932200234408468|96466495992333195|0|5|9|90;";env_LUCASRAMOS_P1.env;GTN_RELATORIO_05_LucasRamos_P1.py
6;RELATORIO_06_LucasRamos_P2;LucasRamos;P2;31;96468946665336064;35932200234408468;0;5;9;33;"RELATORIO_06_LucasRamos_P2|35932200234408468|96468946665336064|0|5|9|33;";env_LUCASRAMOS_P2.env;GTN_RELATORIO_06_LucasRamos_P2.py
7;RELATORIO_07_LucasRamos_P3;LucasRamos;P3;14;96470998136338958;35932200234408468;0;5;9;16;"RELATORIO_07_LucasRamos_P3|35932200234408468|96470998136338958|0|5|9|16;";env_LUCASRAMOS_P3.env;GTN_RELATORIO_07_LucasRamos_P3.py
8;RELATORIO_08_LucasRamos_P9;LucasRamos;P9;10;96473161397342454;35932200234408468;0;5;9;12;"RELATORIO_08_LucasRamos_P9|35932200234408468|96473161397342454|0|5|9|12;";env_LUCASRAMOS_P9.env;GTN_RELATORIO_08_LucasRamos_P9.py
9;RELATORIO_09_Camila_P1;Camila;P1;87;96454201749302012;35932200234408468;0;5;9;89;"RELATORIO_09_Camila_P1|35932200234408468|96454201749302012|0|5|9|89;";env_CAMILA_P1.env;GTN_RELATORIO_09_Camila_P1.py
10;RELATORIO_10_Camila_P2;Camila;P2;36;96451968465288102;35932200234408468;0;5;9;38;"RELATORIO_10_Camila_P2|35932200234408468|96451968465288102|0|5|9|38;";env_CAMILA_P2.env;GTN_RELATORIO_10_Camila_P2.py
11;RELATORIO_11_Camila_P3;Camila;P3;3;96449983914285918;35932200234408468;0;2;9;8;"RELATORIO_11_Camila_P3|35932200234408468|96449983914285918|0|2|9|8;";env_CAMILA_P3.env;GTN_RELATORIO_11_Camila_P3.py
12;RELATORIO_12_Camila_P9;Camila;P9;39;96456284157307243;35932200234408468;0;5;9;41;"RELATORIO_12_Camila_P9|35932200234408468|96456284157307243|0|5|9|41;";env_CAMILA_P9.env;GTN_RELATORIO_12_Camila_P9.py
13;RELATORIO_13_RenatoMezzalira_P1;RenatoMezzalira;P1;313;96836102112838540;35932200234408468;0;5;9;315;"RELATORIO_13_RenatoMezzalira_P1|35932200234408468|96836102112838540|0|5|9|315;";env_RENATOMEZZALIRA_P1.env;GTN_RELATORIO_13_RenatoMezzalira_P1.py
14;RELATORIO_14_RenatoMezzalira_P2;RenatoMezzalira;P2;125;96840562521859779;35932200234408468;0;5;9;127;"RELATORIO_14_RenatoMezzalira_P2|35932200234408468|96840562521859779|0|5|9|127;";env_RENATOMEZZALIRA_P2.env;GTN_RELATORIO_14_RenatoMezzalira_P2.py
15;RELATORIO_15_RenatoMezzalira_P3;RenatoMezzalira;P3;231;96838388851852063;35932200234408468;0;5;9;233;"RELATORIO_15_RenatoMezzalira_P3|35932200234408468|96838388851852063|0|5|9|233;";env_RENATOMEZZALIRA_P3.env;GTN_RELATORIO_15_RenatoMezzalira_P3.py
16;RELATORIO_16_AdrielSilva_P1;AdrielSilva;P1;3;96896222567721463;35932200234408468;0;2;9;8;"RELATORIO_16_AdrielSilva_P1|35932200234408468|96896222567721463|0|2|9|8;";env_ADRIELSILVA_P1.env;GTN_RELATORIO_16_AdrielSilva_P1.py
17;RELATORIO_17_AdrielSilva_P3;AdrielSilva;P3;25;96911676179989837;35932200234408468;0;5;9;27;"RELATORIO_17_AdrielSilva_P3|35932200234408468|96911676179989837|0|5|9|27;";env_ADRIELSILVA_P3.env;GTN_RELATORIO_17_AdrielSilva_P3.py
18;RELATORIO_18_DeiseRosa_P1;DeiseRosa;P1;111;96898268944724974;35932200234408468;0;5;9;113;"RELATORIO_18_DeiseRosa_P1|35932200234408468|96898268944724974|0|5|9|113;";env_DEISEROSA_P1.env;GTN_RELATORIO_18_DeiseRosa_P1.py
19;RELATORIO_19_DeiseRosa_P3;DeiseRosa;P3;2;96913647909993268;35932200234408468;0;1;9;8;"RELATORIO_19_DeiseRosa_P3|35932200234408468|96913647909993268|0|1|9|8;";env_DEISEROSA_P3.env;GTN_RELATORIO_19_DeiseRosa_P3.py
