EXECUCAO_ID;RELATORIO;INDICE_ORIGINAL;LIDER;PRIORIDADE;PAGINA;LINHA_TR;INICIO;FIM;TEMPO_TOTAL_LINHA_SEGUNDOS;STATUS_FECHAMENTO;ULTIMO_EVENTO
20260628_213614;RELATORIO_03_Walceir_P3;3;Walceir;P3;;03;2026-06-28 21:36:14;2026-06-28 21:36:14;0,291;FIM_POR_NOVA_LINHA;[AVISO][CONFIGURAÇÃO] Apenas 1 relatório foi carregado. Verifique se o .env usado é o correto e se RELATORIO_02, RELATORIO_03... existem nele.
20260628_213614;RELATORIO_03_Walceir_P3;3;Walceir;P3;1;9;2026-06-28 21:36:14;2026-06-28 21:37:58;104,042;FIM_POR_NOVA_LINHA;[MÉTRICA] LINHA_SEM_EDIT_PLACEHOLDER | relatorio=RELATORIO_03_Walceir_P3 | pagina=1 | origem=tr_child_9 | status=PLACEHOLDER_GERADO | tempo=8.16s
20260628_213614;RELATORIO_03_Walceir_P3;3;Walceir;P3;1;10;2026-06-28 21:37:58;2026-06-28 21:38:08;9,519;FIM_POR_NOVA_LINHA;[MÉTRICA] LINHA_SEM_EDIT_PLACEHOLDER | relatorio=RELATORIO_03_Walceir_P3 | pagina=1 | origem=tr_child_10 | status=PLACEHOLDER_GERADO | tempo=8.46s
20260628_213614;RELATORIO_03_Walceir_P3;3;Walceir;P3;1;11;2026-06-28 21:38:08;2026-06-28 21:38:17;9,331;FIM_POR_NOVA_LINHA;[MÉTRICA] LINHA_SEM_EDIT_PLACEHOLDER | relatorio=RELATORIO_03_Walceir_P3 | pagina=1 | origem=tr_child_11 | status=PLACEHOLDER_GERADO | tempo=8.26s
20260628_213614;RELATORIO_03_Walceir_P3;3;Walceir;P3;1;12;2026-06-28 21:38:17;2026-06-28 21:38:26;9,399;FIM_POR_NOVA_LINHA;[MÉTRICA] LINHA_SEM_EDIT_PLACEHOLDER | relatorio=RELATORIO_03_Walceir_P3 | pagina=1 | origem=tr_child_12 | status=PLACEHOLDER_GERADO | tempo=8.28s
20260628_213614;RELATORIO_03_Walceir_P3;3;Walceir;P3;1;13;2026-06-28 21:38:26;2026-06-28 21:38:36;9,353;FIM_POR_NOVA_LINHA;[MÉTRICA] LINHA_SEM_EDIT_PLACEHOLDER | relatorio=RELATORIO_03_Walceir_P3 | pagina=1 | origem=tr_child_13 | status=PLACEHOLDER_GERADO | tempo=8.23s
20260628_213614;RELATORIO_03_Walceir_P3;3;Walceir;P3;1;14;2026-06-28 21:38:36;2026-06-28 21:38:45;9,337;FIM_POR_NOVA_LINHA;[MÉTRICA] LINHA_SEM_EDIT_PLACEHOLDER | relatorio=RELATORIO_03_Walceir_P3 | pagina=1 | origem=tr_child_14 | status=PLACEHOLDER_GERADO | tempo=8.28s
20260628_213614;RELATORIO_03_Walceir_P3;3;Walceir;P3;1;15;2026-06-28 21:38:45;2026-06-28 21:38:54;9,404;FIM_POR_NOVA_LINHA;[MÉTRICA] LINHA_SEM_EDIT_PLACEHOLDER | relatorio=RELATORIO_03_Walceir_P3 | pagina=1 | origem=tr_child_15 | status=PLACEHOLDER_GERADO | tempo=8.31s
20260628_213614;RELATORIO_03_Walceir_P3;3;Walceir;P3;1;16;2026-06-28 21:38:54;2026-06-28 21:39:04;9,304;FIM_POR_NOVA_LINHA;[MÉTRICA] LINHA_SEM_EDIT_PLACEHOLDER | relatorio=RELATORIO_03_Walceir_P3 | pagina=1 | origem=tr_child_16 | status=PLACEHOLDER_GERADO | tempo=8.22s
20260628_213614;RELATORIO_03_Walceir_P3;3;Walceir;P3;1;17;2026-06-28 21:39:04;2026-06-28 21:39:13;9,687;FIM_POR_NOVA_LINHA;[MÉTRICA] LINHA_SEM_EDIT_PLACEHOLDER | relatorio=RELATORIO_03_Walceir_P3 | pagina=1 | origem=tr_child_17 | status=PLACEHOLDER_GERADO | tempo=8.57s
20260628_213614;RELATORIO_03_Walceir_P3;3;Walceir;P3;1;18;2026-06-28 21:39:13;2026-06-28 21:39:23;9,301;FIM_POR_NOVA_LINHA;[MÉTRICA] LINHA_SEM_EDIT_PLACEHOLDER | relatorio=RELATORIO_03_Walceir_P3 | pagina=1 | origem=tr_child_18 | status=PLACEHOLDER_GERADO | tempo=8.2s
20260628_213614;RELATORIO_03_Walceir_P3;3;Walceir;P3;1;19;2026-06-28 21:39:23;2026-06-28 21:39:32;9,384;FIM_POR_NOVA_LINHA;[MÉTRICA] LINHA_SEM_EDIT_PLACEHOLDER | relatorio=RELATORIO_03_Walceir_P3 | pagina=1 | origem=tr_child_19 | status=PLACEHOLDER_GERADO | tempo=8.28s
20260628_213614;RELATORIO_03_Walceir_P3;3;Walceir;P3;1;20;2026-06-28 21:39:32;2026-06-28 21:39:42;9,382;FIM_POR_NOVA_LINHA;[MÉTRICA] LINHA_SEM_EDIT_PLACEHOLDER | relatorio=RELATORIO_03_Walceir_P3 | pagina=1 | origem=tr_child_20 | status=PLACEHOLDER_GERADO | tempo=8.26s
20260628_213614;RELATORIO_03_Walceir_P3;3;Walceir;P3;1;21;2026-06-28 21:39:42;2026-06-28 21:39:51;9,364;FIM_POR_NOVA_LINHA;[MÉTRICA] LINHA_SEM_EDIT_PLACEHOLDER | relatorio=RELATORIO_03_Walceir_P3 | pagina=1 | origem=tr_child_21 | status=PLACEHOLDER_GERADO | tempo=8.23s
20260628_213614;RELATORIO_03_Walceir_P3;3;Walceir;P3;1;22;2026-06-28 21:39:51;2026-06-28 21:40:00;9,431;FIM_POR_NOVA_LINHA;[MÉTRICA] LINHA_SEM_EDIT_PLACEHOLDER | relatorio=RELATORIO_03_Walceir_P3 | pagina=1 | origem=tr_child_22 | status=PLACEHOLDER_GERADO | tempo=8.29s
