EXECUCAO_ID;RELATORIO;INDICE_ORIGINAL;LIDER;PRIORIDADE;PAGINA;LINHA_TR;ETAPA;INICIO;FIM;TEMPO_SEGUNDOS;STATUS;DETALHE;ERRO
20260629_174913;RELATORIO_17_AdrielSilva_P3;17;AdrielSilva;P3;;9;BROWSER_LAUNCH;2026-06-29 17:49:14;2026-06-29 17:49:15;0,484;OK;BrowserType.launch | OTIMIZADO: slow_mo reduzido de 300ms para 0ms;
20260629_174913;RELATORIO_17_AdrielSilva_P3;17;AdrielSilva;P3;;9;PAGE_GOTO;2026-06-29 17:49:15;2026-06-29 17:49:22;7,431;OK;Page.goto(url_oculta);
20260629_174913;RELATORIO_17_AdrielSilva_P3;17;AdrielSilva;P3;;9;PAGE_WAIT_TIMEOUT;2026-06-29 17:49:22;2026-06-29 17:49:24;2,011;OK;Page.wait_for_timeout;
20260629_174913;RELATORIO_17_AdrielSilva_P3;17;AdrielSilva;P3;;9;LOCATOR_WAIT_FOR;2026-06-29 17:49:24;2026-06-29 17:49:25;0,059;OK;Locator.wait_for;
20260629_174913;RELATORIO_17_AdrielSilva_P3;17;AdrielSilva;P3;;9;LOCATOR_FILL;2026-06-29 17:49:25;2026-06-29 17:49:25;0,037;OK;Locator.fill(valor_oculto);
20260629_174913;RELATORIO_17_AdrielSilva_P3;17;AdrielSilva;P3;;9;PAGE_WAIT_TIMEOUT;2026-06-29 17:49:25;2026-06-29 17:49:25;0,805;OK;Page.wait_for_timeout;
20260629_174913;RELATORIO_17_AdrielSilva_P3;17;AdrielSilva;P3;;9;PAGE_WAIT_TIMEOUT;2026-06-29 17:49:25;2026-06-29 17:49:26;0,813;OK;Page.wait_for_timeout;
20260629_174913;RELATORIO_17_AdrielSilva_P3;17;AdrielSilva;P3;;9;LOCATOR_WAIT_FOR;2026-06-29 17:49:26;2026-06-29 17:49:26;0,016;OK;Locator.wait_for;
20260629_174913;RELATORIO_17_AdrielSilva_P3;17;AdrielSilva;P3;;9;LOCATOR_FILL;2026-06-29 17:49:26;2026-06-29 17:49:26;0,016;OK;Locator.fill(valor_oculto);
20260629_174913;RELATORIO_17_AdrielSilva_P3;17;AdrielSilva;P3;;9;PAGE_WAIT_TIMEOUT;2026-06-29 17:49:26;2026-06-29 17:49:27;1,006;OK;Page.wait_for_timeout;
20260629_174913;RELATORIO_17_AdrielSilva_P3;17;AdrielSilva;P3;;9;LOCATOR_WAIT_FOR;2026-06-29 17:49:27;2026-06-29 17:49:27;0,011;OK;Locator.wait_for;
20260629_174913;RELATORIO_17_AdrielSilva_P3;17;AdrielSilva;P3;;9;LOCATOR_CLICK;2026-06-29 17:49:27;2026-06-29 17:49:27;0,061;OK;Locator.click;
20260629_174913;RELATORIO_17_AdrielSilva_P3;17;AdrielSilva;P3;;9;PAGE_WAIT_TIMEOUT;2026-06-29 17:49:27;2026-06-29 17:49:32;5,013;OK;Page.wait_for_timeout;
20260629_174913;RELATORIO_17_AdrielSilva_P3;17;AdrielSilva;P3;;9;PAGE_WAIT_LOAD_STATE;2026-06-29 17:49:32;2026-06-29 17:49:36;3,362;OK;Page.wait_for_load_state;
20260629_174913;RELATORIO_17_AdrielSilva_P3;17;AdrielSilva;P3;;9;PAGE_WAIT_LOAD_STATE;2026-06-29 17:49:36;2026-06-29 17:49:38;2,379;OK;Page.wait_for_load_state;
