EXECUCAO_ID;RELATORIO;INDICE_ORIGINAL;LIDER;PRIORIDADE;PAGINA;LINHA_TR;INICIO;FIM;TEMPO_TOTAL_LINHA_SEGUNDOS;STATUS_FECHAMENTO;ULTIMO_EVENTO
20260629_174913;RELATORIO_17_AdrielSilva_P3;17;AdrielSilva;P3;;17;2026-06-29 17:49:13;2026-06-29 17:49:13;0,174;FIM_POR_NOVA_LINHA;[AVISO][CONFIGURAÇÃO] Apenas 1 relatório foi carregado. Verifique se o .env usado é o correto e se RELATORIO_02, RELATORIO_03... existem nele.
20260629_174913;RELATORIO_17_AdrielSilva_P3;17;AdrielSilva;P3;1;9;2026-06-29 17:49:13;2026-06-29 17:51:10;116,033;FIM_POR_NOVA_LINHA;[MÉTRICA] LINHA_COM_EDIT_DOWNLOAD | relatorio=RELATORIO_17_AdrielSilva_P3 | pagina=1 | origem=tr_child_9 | status=DOWNLOAD_OK | tempo=6.48s
20260629_174913;RELATORIO_17_AdrielSilva_P3;17;AdrielSilva;P3;1;10;2026-06-29 17:51:10;2026-06-29 17:51:19;9,433;FIM_POR_NOVA_LINHA;[MÉTRICA] LINHA_COM_EDIT_DOWNLOAD | relatorio=RELATORIO_17_AdrielSilva_P3 | pagina=1 | origem=tr_child_10 | status=DOWNLOAD_OK | tempo=7.33s
20260629_174913;RELATORIO_17_AdrielSilva_P3;17;AdrielSilva;P3;1;11;2026-06-29 17:51:19;2026-06-29 17:51:28;9,506;FIM_POR_NOVA_LINHA;[MÉTRICA] LINHA_SEM_EDIT_PLACEHOLDER | relatorio=RELATORIO_17_AdrielSilva_P3 | pagina=1 | origem=tr_child_11 | status=PLACEHOLDER_GERADO | tempo=8.42s
20260629_174913;RELATORIO_17_AdrielSilva_P3;17;AdrielSilva;P3;1;12;2026-06-29 17:51:28;2026-06-29 17:51:38;9,489;FIM_POR_NOVA_LINHA;[MÉTRICA] LINHA_SEM_EDIT_PLACEHOLDER | relatorio=RELATORIO_17_AdrielSilva_P3 | pagina=1 | origem=tr_child_12 | status=PLACEHOLDER_GERADO | tempo=8.4s
20260629_174913;RELATORIO_17_AdrielSilva_P3;17;AdrielSilva;P3;1;13;2026-06-29 17:51:38;2026-06-29 17:51:48;9,825;FIM_POR_NOVA_LINHA;[MÉTRICA] LINHA_SEM_EDIT_PLACEHOLDER | relatorio=RELATORIO_17_AdrielSilva_P3 | pagina=1 | origem=tr_child_13 | status=PLACEHOLDER_GERADO | tempo=8.75s
20260629_174913;RELATORIO_17_AdrielSilva_P3;17;AdrielSilva;P3;1;14;2026-06-29 17:51:48;2026-06-29 17:51:57;9,394;FIM_POR_NOVA_LINHA;[MÉTRICA] LINHA_SEM_EDIT_PLACEHOLDER | relatorio=RELATORIO_17_AdrielSilva_P3 | pagina=1 | origem=tr_child_14 | status=PLACEHOLDER_GERADO | tempo=8.33s
20260629_174913;RELATORIO_17_AdrielSilva_P3;17;AdrielSilva;P3;1;15;2026-06-29 17:51:57;2026-06-29 17:52:07;9,502;FIM_POR_NOVA_LINHA;[MÉTRICA] LINHA_SEM_EDIT_PLACEHOLDER | relatorio=RELATORIO_17_AdrielSilva_P3 | pagina=1 | origem=tr_child_15 | status=PLACEHOLDER_GERADO | tempo=8.42s
20260629_174913;RELATORIO_17_AdrielSilva_P3;17;AdrielSilva;P3;1;16;2026-06-29 17:52:07;2026-06-29 17:52:16;9,302;FIM_POR_NOVA_LINHA;[MÉTRICA] LINHA_SEM_EDIT_PLACEHOLDER | relatorio=RELATORIO_17_AdrielSilva_P3 | pagina=1 | origem=tr_child_16 | status=PLACEHOLDER_GERADO | tempo=8.28s
20260629_174913;RELATORIO_17_AdrielSilva_P3;17;AdrielSilva;P3;1;17;2026-06-29 17:52:16;2026-06-29 17:52:26;9,536;FIM_POR_NOVA_LINHA;[MÉTRICA] LINHA_SEM_EDIT_PLACEHOLDER | relatorio=RELATORIO_17_AdrielSilva_P3 | pagina=1 | origem=tr_child_17 | status=PLACEHOLDER_GERADO | tempo=8.44s
20260629_174913;RELATORIO_17_AdrielSilva_P3;17;AdrielSilva;P3;1;18;2026-06-29 17:52:26;2026-06-29 17:52:35;9,663;FIM_POR_NOVA_LINHA;[MÉTRICA] LINHA_SEM_EDIT_PLACEHOLDER | relatorio=RELATORIO_17_AdrielSilva_P3 | pagina=1 | origem=tr_child_18 | status=PLACEHOLDER_GERADO | tempo=8.57s
20260629_174913;RELATORIO_17_AdrielSilva_P3;17;AdrielSilva;P3;1;19;2026-06-29 17:52:35;2026-06-29 17:52:44;9,013;FIM_POR_NOVA_LINHA;[MÉTRICA] LINHA_COM_EDIT_DOWNLOAD | relatorio=RELATORIO_17_AdrielSilva_P3 | pagina=1 | origem=tr_child_19 | status=DOWNLOAD_OK | tempo=6.79s
20260629_174913;RELATORIO_17_AdrielSilva_P3;17;AdrielSilva;P3;1;20;2026-06-29 17:52:44;2026-06-29 17:52:54;9,818;FIM_POR_NOVA_LINHA;[MÉTRICA] LINHA_SEM_EDIT_PLACEHOLDER | relatorio=RELATORIO_17_AdrielSilva_P3 | pagina=1 | origem=tr_child_20 | status=PLACEHOLDER_GERADO | tempo=8.71s
20260629_174913;RELATORIO_17_AdrielSilva_P3;17;AdrielSilva;P3;1;21;2026-06-29 17:52:54;2026-06-29 17:53:04;9,578;FIM_POR_NOVA_LINHA;[MÉTRICA] LINHA_SEM_EDIT_PLACEHOLDER | relatorio=RELATORIO_17_AdrielSilva_P3 | pagina=1 | origem=tr_child_21 | status=PLACEHOLDER_GERADO | tempo=8.44s
20260629_174913;RELATORIO_17_AdrielSilva_P3;17;AdrielSilva;P3;1;22;2026-06-29 17:53:04;2026-06-29 17:53:13;9,752;FIM_POR_NOVA_LINHA;[MÉTRICA] LINHA_SEM_EDIT_PLACEHOLDER | relatorio=RELATORIO_17_AdrielSilva_P3 | pagina=1 | origem=tr_child_22 | status=PLACEHOLDER_GERADO | tempo=8.64s
20260629_174913;RELATORIO_17_AdrielSilva_P3;17;AdrielSilva;P3;1;23;2026-06-29 17:53:13;2026-06-29 17:53:23;9,783;FIM_POR_NOVA_LINHA;[MÉTRICA] LINHA_SEM_EDIT_PLACEHOLDER | relatorio=RELATORIO_17_AdrielSilva_P3 | pagina=1 | origem=tr_child_23 | status=PLACEHOLDER_GERADO | tempo=8.66s
20260629_174913;RELATORIO_17_AdrielSilva_P3;17;AdrielSilva;P3;1;24;2026-06-29 17:53:23;2026-06-29 17:53:33;9,717;FIM_POR_NOVA_LINHA;[MÉTRICA] LINHA_SEM_EDIT_PLACEHOLDER | relatorio=RELATORIO_17_AdrielSilva_P3 | pagina=1 | origem=tr_child_24 | status=PLACEHOLDER_GERADO | tempo=8.6s
