EXECUCAO_ID;RELATORIO;INDICE_ORIGINAL;LIDER;PRIORIDADE;PAGINA;LINHA_TR;INICIO;FIM;TEMPO_TOTAL_LINHA_SEGUNDOS;STATUS_FECHAMENTO;ULTIMO_EVENTO
20260629_115627;RELATORIO_12_Camila_P9;12;Camila;P9;;12;2026-06-29 11:56:27;2026-06-29 11:56:27;0,191;FIM_POR_NOVA_LINHA;[AVISO][CONFIGURAÇÃO] Apenas 1 relatório foi carregado. Verifique se o .env usado é o correto e se RELATORIO_02, RELATORIO_03... existem nele.
20260629_115627;RELATORIO_12_Camila_P9;12;Camila;P9;1;9;2026-06-29 11:56:27;2026-06-29 11:58:14;106,681;FIM_POR_NOVA_LINHA;[MÉTRICA] LINHA_COM_EDIT_DOWNLOAD | relatorio=RELATORIO_12_Camila_P9 | pagina=1 | origem=tr_child_9 | status=DOWNLOAD_OK | tempo=6.65s
20260629_115627;RELATORIO_12_Camila_P9;12;Camila;P9;1;10;2026-06-29 11:58:14;2026-06-29 11:58:22;8,331;FIM_POR_NOVA_LINHA;[MÉTRICA] LINHA_COM_EDIT_DOWNLOAD | relatorio=RELATORIO_12_Camila_P9 | pagina=1 | origem=tr_child_10 | status=DOWNLOAD_OK | tempo=6.28s
20260629_115627;RELATORIO_12_Camila_P9;12;Camila;P9;1;11;2026-06-29 11:58:22;2026-06-29 11:58:31;8,498;FIM_POR_NOVA_LINHA;[MÉTRICA] LINHA_COM_EDIT_DOWNLOAD | relatorio=RELATORIO_12_Camila_P9 | pagina=1 | origem=tr_child_11 | status=DOWNLOAD_OK | tempo=6.46s
20260629_115627;RELATORIO_12_Camila_P9;12;Camila;P9;1;12;2026-06-29 11:58:31;2026-06-29 11:58:39;8,361;FIM_POR_NOVA_LINHA;[MÉTRICA] LINHA_COM_EDIT_DOWNLOAD | relatorio=RELATORIO_12_Camila_P9 | pagina=1 | origem=tr_child_12 | status=DOWNLOAD_OK | tempo=6.36s
20260629_115627;RELATORIO_12_Camila_P9;12;Camila;P9;1;13;2026-06-29 11:58:39;2026-06-29 11:58:48;8,44;FIM_POR_NOVA_LINHA;[MÉTRICA] LINHA_COM_EDIT_DOWNLOAD | relatorio=RELATORIO_12_Camila_P9 | pagina=1 | origem=tr_child_13 | status=DOWNLOAD_OK | tempo=6.37s
20260629_115627;RELATORIO_12_Camila_P9;12;Camila;P9;1;14;2026-06-29 11:58:48;2026-06-29 11:58:56;8,556;FIM_POR_NOVA_LINHA;[MÉTRICA] LINHA_COM_EDIT_DOWNLOAD | relatorio=RELATORIO_12_Camila_P9 | pagina=1 | origem=tr_child_14 | status=DOWNLOAD_OK | tempo=6.5s
20260629_115627;RELATORIO_12_Camila_P9;12;Camila;P9;1;15;2026-06-29 11:58:56;2026-06-29 11:59:05;9,343;FIM_POR_NOVA_LINHA;[MÉTRICA] LINHA_COM_EDIT_DOWNLOAD | relatorio=RELATORIO_12_Camila_P9 | pagina=1 | origem=tr_child_15 | status=DOWNLOAD_OK | tempo=7.2s
20260629_115627;RELATORIO_12_Camila_P9;12;Camila;P9;1;16;2026-06-29 11:59:05;2026-06-29 11:59:15;9,283;FIM_POR_NOVA_LINHA;[MÉTRICA] LINHA_COM_EDIT_DOWNLOAD | relatorio=RELATORIO_12_Camila_P9 | pagina=1 | origem=tr_child_16 | status=DOWNLOAD_OK | tempo=7.19s
20260629_115627;RELATORIO_12_Camila_P9;12;Camila;P9;1;17;2026-06-29 11:59:15;2026-06-29 11:59:24;9,099;FIM_POR_NOVA_LINHA;[MÉTRICA] LINHA_COM_EDIT_DOWNLOAD | relatorio=RELATORIO_12_Camila_P9 | pagina=1 | origem=tr_child_17 | status=DOWNLOAD_OK | tempo=6.93s
20260629_115627;RELATORIO_12_Camila_P9;12;Camila;P9;1;18;2026-06-29 11:59:24;2026-06-29 11:59:33;8,731;FIM_POR_NOVA_LINHA;[MÉTRICA] LINHA_COM_EDIT_DOWNLOAD | relatorio=RELATORIO_12_Camila_P9 | pagina=1 | origem=tr_child_18 | status=DOWNLOAD_OK | tempo=6.67s
20260629_115627;RELATORIO_12_Camila_P9;12;Camila;P9;1;19;2026-06-29 11:59:33;2026-06-29 11:59:41;8,67;FIM_POR_NOVA_LINHA;[MÉTRICA] LINHA_COM_EDIT_DOWNLOAD | relatorio=RELATORIO_12_Camila_P9 | pagina=1 | origem=tr_child_19 | status=DOWNLOAD_OK | tempo=6.62s
20260629_115627;RELATORIO_12_Camila_P9;12;Camila;P9;1;20;2026-06-29 11:59:41;2026-06-29 11:59:51;9,954;FIM_POR_NOVA_LINHA;[MÉTRICA] LINHA_COM_EDIT_DOWNLOAD | relatorio=RELATORIO_12_Camila_P9 | pagina=1 | origem=tr_child_20 | status=DOWNLOAD_OK | tempo=7.8s
20260629_115627;RELATORIO_12_Camila_P9;12;Camila;P9;1;21;2026-06-29 11:59:51;2026-06-29 12:00:05;13,417;FIM_POR_NOVA_LINHA;[MÉTRICA] LINHA_COM_EDIT_DOWNLOAD | relatorio=RELATORIO_12_Camila_P9 | pagina=1 | origem=tr_child_21 | status=DOWNLOAD_OK | tempo=11.24s
20260629_115627;RELATORIO_12_Camila_P9;12;Camila;P9;1;22;2026-06-29 12:00:05;2026-06-29 12:00:15;9,959;FIM_POR_NOVA_LINHA;[MÉTRICA] LINHA_COM_EDIT_DOWNLOAD | relatorio=RELATORIO_12_Camila_P9 | pagina=1 | origem=tr_child_22 | status=DOWNLOAD_OK | tempo=7.71s
20260629_115627;RELATORIO_12_Camila_P9;12;Camila;P9;1;23;2026-06-29 12:00:15;2026-06-29 12:00:26;11,002;FIM_POR_NOVA_LINHA;[MÉTRICA] LINHA_COM_EDIT_DOWNLOAD | relatorio=RELATORIO_12_Camila_P9 | pagina=1 | origem=tr_child_23 | status=DOWNLOAD_OK | tempo=8.84s
20260629_115627;RELATORIO_12_Camila_P9;12;Camila;P9;1;24;2026-06-29 12:00:26;2026-06-29 12:00:36;10,621;FIM_POR_NOVA_LINHA;[MÉTRICA] LINHA_COM_EDIT_DOWNLOAD | relatorio=RELATORIO_12_Camila_P9 | pagina=1 | origem=tr_child_24 | status=DOWNLOAD_OK | tempo=8.41s
