EXECUCAO_ID;RELATORIO;INDICE_ORIGINAL;LIDER;PRIORIDADE;PAGINA;LINHA_TR;ETAPA;INICIO;FIM;TEMPO_SEGUNDOS;STATUS;DETALHE;ERRO
20260629_180102;RELATORIO_19_DeiseRosa_P3;19;DeiseRosa;P3;;9;BROWSER_LAUNCH;2026-06-29 18:01:02;2026-06-29 18:01:03;0,589;OK;BrowserType.launch | OTIMIZADO: slow_mo reduzido de 300ms para 0ms;
20260629_180102;RELATORIO_19_DeiseRosa_P3;19;DeiseRosa;P3;;9;PAGE_GOTO;2026-06-29 18:01:03;2026-06-29 18:01:07;3,9;OK;Page.goto(url_oculta);
20260629_180102;RELATORIO_19_DeiseRosa_P3;19;DeiseRosa;P3;;9;PAGE_WAIT_TIMEOUT;2026-06-29 18:01:07;2026-06-29 18:01:09;2,017;OK;Page.wait_for_timeout;
20260629_180102;RELATORIO_19_DeiseRosa_P3;19;DeiseRosa;P3;;9;LOCATOR_WAIT_FOR;2026-06-29 18:01:09;2026-06-29 18:01:09;0,06;OK;Locator.wait_for;
20260629_180102;RELATORIO_19_DeiseRosa_P3;19;DeiseRosa;P3;;9;LOCATOR_FILL;2026-06-29 18:01:09;2026-06-29 18:01:09;0,041;OK;Locator.fill(valor_oculto);
20260629_180102;RELATORIO_19_DeiseRosa_P3;19;DeiseRosa;P3;;9;PAGE_WAIT_TIMEOUT;2026-06-29 18:01:09;2026-06-29 18:01:10;0,817;OK;Page.wait_for_timeout;
20260629_180102;RELATORIO_19_DeiseRosa_P3;19;DeiseRosa;P3;;9;PAGE_WAIT_TIMEOUT;2026-06-29 18:01:10;2026-06-29 18:01:11;0,805;OK;Page.wait_for_timeout;
20260629_180102;RELATORIO_19_DeiseRosa_P3;19;DeiseRosa;P3;;9;LOCATOR_WAIT_FOR;2026-06-29 18:01:11;2026-06-29 18:01:11;0,014;OK;Locator.wait_for;
20260629_180102;RELATORIO_19_DeiseRosa_P3;19;DeiseRosa;P3;;9;LOCATOR_FILL;2026-06-29 18:01:11;2026-06-29 18:01:11;0,017;OK;Locator.fill(valor_oculto);
20260629_180102;RELATORIO_19_DeiseRosa_P3;19;DeiseRosa;P3;;9;PAGE_WAIT_TIMEOUT;2026-06-29 18:01:11;2026-06-29 18:01:12;1,011;OK;Page.wait_for_timeout;
20260629_180102;RELATORIO_19_DeiseRosa_P3;19;DeiseRosa;P3;;9;LOCATOR_WAIT_FOR;2026-06-29 18:01:12;2026-06-29 18:01:12;0,009;OK;Locator.wait_for;
20260629_180102;RELATORIO_19_DeiseRosa_P3;19;DeiseRosa;P3;;9;LOCATOR_CLICK;2026-06-29 18:01:12;2026-06-29 18:01:12;0,057;OK;Locator.click;
