EXECUCAO_ID;RELATORIO;INDICE_ORIGINAL;LIDER;PRIORIDADE;PAGINA;LINHA_TR;INICIO;FIM;TEMPO_TOTAL_LINHA_SEGUNDOS;STATUS_FECHAMENTO;ULTIMO_EVENTO
20260629_175414;RELATORIO_18_DeiseRosa_P1;18;DeiseRosa;P1;;18;2026-06-29 17:54:14;2026-06-29 17:54:14;0,231;FIM_POR_NOVA_LINHA;[AVISO][CONFIGURAÇÃO] Apenas 1 relatório foi carregado. Verifique se o .env usado é o correto e se RELATORIO_02, RELATORIO_03... existem nele.
20260629_175414;RELATORIO_18_DeiseRosa_P1;18;DeiseRosa;P1;1;9;2026-06-29 17:54:14;2026-06-29 17:56:22;128,466;FIM_POR_NOVA_LINHA;[MÉTRICA] LINHA_SEM_EDIT_PLACEHOLDER | relatorio=RELATORIO_18_DeiseRosa_P1 | pagina=1 | origem=tr_child_9 | status=PLACEHOLDER_GERADO | tempo=8.69s
20260629_175414;RELATORIO_18_DeiseRosa_P1;18;DeiseRosa;P1;1;10;2026-06-29 17:56:22;2026-06-29 17:56:32;9,574;FIM_POR_NOVA_LINHA;[MÉTRICA] LINHA_SEM_EDIT_PLACEHOLDER | relatorio=RELATORIO_18_DeiseRosa_P1 | pagina=1 | origem=tr_child_10 | status=PLACEHOLDER_GERADO | tempo=8.38s
20260629_175414;RELATORIO_18_DeiseRosa_P1;18;DeiseRosa;P1;1;11;2026-06-29 17:56:32;2026-06-29 17:56:42;9,935;FIM_POR_NOVA_LINHA;[MÉTRICA] LINHA_SEM_EDIT_PLACEHOLDER | relatorio=RELATORIO_18_DeiseRosa_P1 | pagina=1 | origem=tr_child_11 | status=PLACEHOLDER_GERADO | tempo=8.83s
20260629_175414;RELATORIO_18_DeiseRosa_P1;18;DeiseRosa;P1;1;12;2026-06-29 17:56:42;2026-06-29 17:56:52;9,731;FIM_POR_NOVA_LINHA;[MÉTRICA] LINHA_SEM_EDIT_PLACEHOLDER | relatorio=RELATORIO_18_DeiseRosa_P1 | pagina=1 | origem=tr_child_12 | status=PLACEHOLDER_GERADO | tempo=8.63s
20260629_175414;RELATORIO_18_DeiseRosa_P1;18;DeiseRosa;P1;1;13;2026-06-29 17:56:52;2026-06-29 17:57:02;9,893;FIM_POR_NOVA_LINHA;[MÉTRICA] LINHA_SEM_EDIT_PLACEHOLDER | relatorio=RELATORIO_18_DeiseRosa_P1 | pagina=1 | origem=tr_child_13 | status=PLACEHOLDER_GERADO | tempo=8.77s
20260629_175414;RELATORIO_18_DeiseRosa_P1;18;DeiseRosa;P1;1;14;2026-06-29 17:57:02;2026-06-29 17:57:11;9,61;FIM_POR_NOVA_LINHA;[MÉTRICA] LINHA_SEM_EDIT_PLACEHOLDER | relatorio=RELATORIO_18_DeiseRosa_P1 | pagina=1 | origem=tr_child_14 | status=PLACEHOLDER_GERADO | tempo=8.49s
20260629_175414;RELATORIO_18_DeiseRosa_P1;18;DeiseRosa;P1;1;15;2026-06-29 17:57:11;2026-06-29 17:57:21;9,677;FIM_POR_NOVA_LINHA;[MÉTRICA] LINHA_SEM_EDIT_PLACEHOLDER | relatorio=RELATORIO_18_DeiseRosa_P1 | pagina=1 | origem=tr_child_15 | status=PLACEHOLDER_GERADO | tempo=8.56s
20260629_175414;RELATORIO_18_DeiseRosa_P1;18;DeiseRosa;P1;1;16;2026-06-29 17:57:21;2026-06-29 17:57:31;9,661;FIM_POR_NOVA_LINHA;[MÉTRICA] LINHA_SEM_EDIT_PLACEHOLDER | relatorio=RELATORIO_18_DeiseRosa_P1 | pagina=1 | origem=tr_child_16 | status=PLACEHOLDER_GERADO | tempo=8.53s
20260629_175414;RELATORIO_18_DeiseRosa_P1;18;DeiseRosa;P1;1;17;2026-06-29 17:57:31;2026-06-29 17:57:40;9,831;FIM_POR_NOVA_LINHA;[MÉTRICA] LINHA_SEM_EDIT_PLACEHOLDER | relatorio=RELATORIO_18_DeiseRosa_P1 | pagina=1 | origem=tr_child_17 | status=PLACEHOLDER_GERADO | tempo=8.71s
