EXECUCAO_ID;RELATORIO;INDICE_ORIGINAL;LIDER;PRIORIDADE;PAGINA;LINHA_TR;ETAPA;INICIO;FIM;TEMPO_SEGUNDOS;STATUS;DETALHE;ERRO
20260629_104302;RELATORIO_07_LucasRamos_P3;7;LucasRamos;P3;;9;BROWSER_LAUNCH;2026-06-29 10:43:03;2026-06-29 10:43:04;0,568;OK;BrowserType.launch | OTIMIZADO: slow_mo reduzido de 300ms para 0ms;
20260629_104302;RELATORIO_07_LucasRamos_P3;7;LucasRamos;P3;;9;PAGE_GOTO;2026-06-29 10:43:04;2026-06-29 10:43:11;6,621;OK;Page.goto(url_oculta);
20260629_104302;RELATORIO_07_LucasRamos_P3;7;LucasRamos;P3;;9;PAGE_WAIT_TIMEOUT;2026-06-29 10:43:11;2026-06-29 10:43:13;2,004;OK;Page.wait_for_timeout;
20260629_104302;RELATORIO_07_LucasRamos_P3;7;LucasRamos;P3;;9;LOCATOR_WAIT_FOR;2026-06-29 10:43:13;2026-06-29 10:43:13;0,048;OK;Locator.wait_for;
20260629_104302;RELATORIO_07_LucasRamos_P3;7;LucasRamos;P3;;9;LOCATOR_FILL;2026-06-29 10:43:13;2026-06-29 10:43:13;0,026;OK;Locator.fill(valor_oculto);
20260629_104302;RELATORIO_07_LucasRamos_P3;7;LucasRamos;P3;;9;PAGE_WAIT_TIMEOUT;2026-06-29 10:43:13;2026-06-29 10:43:14;0,805;OK;Page.wait_for_timeout;
20260629_104302;RELATORIO_07_LucasRamos_P3;7;LucasRamos;P3;;9;PAGE_WAIT_TIMEOUT;2026-06-29 10:43:14;2026-06-29 10:43:15;0,804;OK;Page.wait_for_timeout;
20260629_104302;RELATORIO_07_LucasRamos_P3;7;LucasRamos;P3;;9;LOCATOR_WAIT_FOR;2026-06-29 10:43:15;2026-06-29 10:43:15;0,013;OK;Locator.wait_for;
20260629_104302;RELATORIO_07_LucasRamos_P3;7;LucasRamos;P3;;9;LOCATOR_FILL;2026-06-29 10:43:15;2026-06-29 10:43:15;0,017;OK;Locator.fill(valor_oculto);
20260629_104302;RELATORIO_07_LucasRamos_P3;7;LucasRamos;P3;;9;PAGE_WAIT_TIMEOUT;2026-06-29 10:43:15;2026-06-29 10:43:16;1,004;OK;Page.wait_for_timeout;
20260629_104302;RELATORIO_07_LucasRamos_P3;7;LucasRamos;P3;;9;LOCATOR_WAIT_FOR;2026-06-29 10:43:16;2026-06-29 10:43:16;0,013;OK;Locator.wait_for;
20260629_104302;RELATORIO_07_LucasRamos_P3;7;LucasRamos;P3;;9;LOCATOR_CLICK;2026-06-29 10:43:16;2026-06-29 10:43:16;0,055;OK;Locator.click;
20260629_104302;RELATORIO_07_LucasRamos_P3;7;LucasRamos;P3;;9;PAGE_WAIT_TIMEOUT;2026-06-29 10:43:16;2026-06-29 10:43:21;5,004;OK;Page.wait_for_timeout;
20260629_104302;RELATORIO_07_LucasRamos_P3;7;LucasRamos;P3;;9;PAGE_WAIT_LOAD_STATE;2026-06-29 10:43:21;2026-06-29 10:43:30;9,331;OK;Page.wait_for_load_state;
20260629_104302;RELATORIO_07_LucasRamos_P3;7;LucasRamos;P3;;9;PAGE_WAIT_LOAD_STATE;2026-06-29 10:43:30;2026-06-29 10:43:33;2,524;OK;Page.wait_for_load_state;
20260629_104302;RELATORIO_07_LucasRamos_P3;7;LucasRamos;P3;;9;LOCATOR_WAIT_FOR;2026-06-29 10:43:33;2026-06-29 10:43:33;0,025;OK;Locator.wait_for;
20260629_104302;RELATORIO_07_LucasRamos_P3;7;LucasRamos;P3;;9;LOCATOR_WAIT_FOR;2026-06-29 10:43:33;2026-06-29 10:43:33;0,007;OK;Locator.wait_for;
20260629_104302;RELATORIO_07_LucasRamos_P3;7;LucasRamos;P3;;9;LOCATOR_WAIT_FOR;2026-06-29 10:43:33;2026-06-29 10:43:33;0,008;OK;Locator.wait_for;
20260629_104302;RELATORIO_07_LucasRamos_P3;7;LucasRamos;P3;;9;LOCATOR_WAIT_FOR;2026-06-29 10:43:33;2026-06-29 10:43:33;0,008;OK;Locator.wait_for | OTIMIZADO: overlay APEX: timeout reduzido de 8000ms para 1000ms;
20260629_104302;RELATORIO_07_LucasRamos_P3;7;LucasRamos;P3;;9;PAGE_WAIT_TIMEOUT;2026-06-29 10:43:33;2026-06-29 10:43:36;3,002;OK;Page.wait_for_timeout;
20260629_104302;RELATORIO_07_LucasRamos_P3;7;LucasRamos;P3;;9;LOCATOR_WAIT_FOR;2026-06-29 10:43:36;2026-06-29 10:43:36;0,032;OK;Locator.wait_for;
20260629_104302;RELATORIO_07_LucasRamos_P3;7;LucasRamos;P3;;9;PAGE_WAIT_TIMEOUT;2026-06-29 10:43:36;2026-06-29 10:43:37;1,503;OK;Page.wait_for_timeout;
20260629_104302;RELATORIO_07_LucasRamos_P3;7;LucasRamos;P3;;9;LOCATOR_CLICK;2026-06-29 10:43:37;2026-06-29 10:43:37;0,118;OK;Locator.click;
20260629_104302;RELATORIO_07_LucasRamos_P3;7;LucasRamos;P3;;9;PAGE_WAIT_TIMEOUT;2026-06-29 10:43:37;2026-06-29 10:43:40;3,004;OK;Page.wait_for_timeout;
20260629_104302;RELATORIO_07_LucasRamos_P3;7;LucasRamos;P3;;9;LOCATOR_WAIT_FOR;2026-06-29 10:43:40;2026-06-29 10:43:40;0,017;OK;Locator.wait_for;
20260629_104302;RELATORIO_07_LucasRamos_P3;7;LucasRamos;P3;;9;PAGE_WAIT_TIMEOUT;2026-06-29 10:43:40;2026-06-29 10:43:41;1,003;OK;Page.wait_for_timeout;
20260629_104302;RELATORIO_07_LucasRamos_P3;7;LucasRamos;P3;;9;LOCATOR_CLICK;2026-06-29 10:43:41;2026-06-29 10:43:41;0,068;OK;Locator.click;
20260629_104302;RELATORIO_07_LucasRamos_P3;7;LucasRamos;P3;;9;PAGE_WAIT_TIMEOUT;2026-06-29 10:43:41;2026-06-29 10:43:44;3,003;OK;Page.wait_for_timeout;
20260629_104302;RELATORIO_07_LucasRamos_P3;7;LucasRamos;P3;;9;LOCATOR_WAIT_FOR;2026-06-29 10:43:44;2026-06-29 10:43:44;0,015;OK;Locator.wait_for;
20260629_104302;RELATORIO_07_LucasRamos_P3;7;LucasRamos;P3;;9;PAGE_WAIT_TIMEOUT;2026-06-29 10:43:44;2026-06-29 10:43:45;1,002;OK;Page.wait_for_timeout;
20260629_104302;RELATORIO_07_LucasRamos_P3;7;LucasRamos;P3;;9;LOCATOR_CLICK;2026-06-29 10:43:45;2026-06-29 10:43:50;4,342;OK;Locator.click;
20260629_104302;RELATORIO_07_LucasRamos_P3;7;LucasRamos;P3;;9;PAGE_WAIT_LOAD_STATE;2026-06-29 10:43:50;2026-06-29 10:43:55;5,228;OK;Page.wait_for_load_state;
20260629_104302;RELATORIO_07_LucasRamos_P3;7;LucasRamos;P3;;9;PAGE_WAIT_LOAD_STATE;2026-06-29 10:43:55;2026-06-29 10:43:56;0,914;OK;Page.wait_for_load_state;
20260629_104302;RELATORIO_07_LucasRamos_P3;7;LucasRamos;P3;;9;LOCATOR_WAIT_FOR;2026-06-29 10:43:56;2026-06-29 10:43:56;0,048;OK;Locator.wait_for;
20260629_104302;RELATORIO_07_LucasRamos_P3;7;LucasRamos;P3;;9;LOCATOR_WAIT_FOR;2026-06-29 10:43:56;2026-06-29 10:43:56;0,007;OK;Locator.wait_for;
20260629_104302;RELATORIO_07_LucasRamos_P3;7;LucasRamos;P3;;9;LOCATOR_WAIT_FOR;2026-06-29 10:43:56;2026-06-29 10:43:56;0,01;OK;Locator.wait_for;
20260629_104302;RELATORIO_07_LucasRamos_P3;7;LucasRamos;P3;;9;LOCATOR_WAIT_FOR;2026-06-29 10:43:56;2026-06-29 10:43:56;0,008;OK;Locator.wait_for | OTIMIZADO: overlay APEX: timeout reduzido de 8000ms para 1000ms;
20260629_104302;RELATORIO_07_LucasRamos_P3;7;LucasRamos;P3;;9;LOCATOR_WAIT_FOR;2026-06-29 10:43:56;2026-06-29 10:43:56;0,013;OK;Locator.wait_for;
20260629_104302;RELATORIO_07_LucasRamos_P3;7;LucasRamos;P3;;9;PAGE_WAIT_TIMEOUT;2026-06-29 10:43:56;2026-06-29 10:43:56;0,453;OK;Page.wait_for_timeout | OTIMIZADO: wait_for_timeout reduzido de 1000ms para 450ms;
20260629_104302;RELATORIO_07_LucasRamos_P3;7;LucasRamos;P3;;9;LOCATOR_WAIT_FOR;2026-06-29 10:43:56;2026-06-29 10:43:56;0,02;OK;Locator.wait_for;
20260629_104302;RELATORIO_07_LucasRamos_P3;7;LucasRamos;P3;;9;PAGE_WAIT_TIMEOUT;2026-06-29 10:43:56;2026-06-29 10:43:57;0,453;OK;Page.wait_for_timeout | OTIMIZADO: wait_for_timeout reduzido de 1000ms para 450ms;
20260629_104302;RELATORIO_07_LucasRamos_P3;7;LucasRamos;P3;;9;LOCATOR_SELECT_OPTION;2026-06-29 10:43:57;2026-06-29 10:43:57;0,042;OK;Locator.select_option;
20260629_104302;RELATORIO_07_LucasRamos_P3;7;LucasRamos;P3;;9;PAGE_WAIT_TIMEOUT;2026-06-29 10:43:57;2026-06-29 10:43:57;0,454;OK;Page.wait_for_timeout | OTIMIZADO: wait_for_timeout reduzido de 3000ms para 450ms;
