EXECUCAO_ID;RELATORIO;INDICE_ORIGINAL;LIDER;PRIORIDADE;PAGINA;LINHA_TR;ETAPA;INICIO;FIM;TEMPO_SEGUNDOS;STATUS;DETALHE;ERRO
20260629_163951;RELATORIO_14_RenatoMezzalira_P2;14;RenatoMezzalira;P2;;9;BROWSER_LAUNCH;2026-06-29 16:39:52;2026-06-29 16:39:53;0,771;OK;BrowserType.launch | OTIMIZADO: slow_mo reduzido de 300ms para 0ms;
20260629_163951;RELATORIO_14_RenatoMezzalira_P2;14;RenatoMezzalira;P2;;9;PAGE_GOTO;2026-06-29 16:39:53;2026-06-29 16:39:57;4,323;OK;Page.goto(url_oculta);
20260629_163951;RELATORIO_14_RenatoMezzalira_P2;14;RenatoMezzalira;P2;;9;PAGE_WAIT_TIMEOUT;2026-06-29 16:39:57;2026-06-29 16:39:59;2,008;OK;Page.wait_for_timeout;
20260629_163951;RELATORIO_14_RenatoMezzalira_P2;14;RenatoMezzalira;P2;;9;LOCATOR_WAIT_FOR;2026-06-29 16:39:59;2026-06-29 16:40:00;0,058;OK;Locator.wait_for;
20260629_163951;RELATORIO_14_RenatoMezzalira_P2;14;RenatoMezzalira;P2;;9;LOCATOR_FILL;2026-06-29 16:40:00;2026-06-29 16:40:00;0,037;OK;Locator.fill(valor_oculto);
20260629_163951;RELATORIO_14_RenatoMezzalira_P2;14;RenatoMezzalira;P2;;9;PAGE_WAIT_TIMEOUT;2026-06-29 16:40:00;2026-06-29 16:40:00;0,806;OK;Page.wait_for_timeout;
20260629_163951;RELATORIO_14_RenatoMezzalira_P2;14;RenatoMezzalira;P2;;9;PAGE_WAIT_TIMEOUT;2026-06-29 16:40:00;2026-06-29 16:40:01;0,807;OK;Page.wait_for_timeout;
20260629_163951;RELATORIO_14_RenatoMezzalira_P2;14;RenatoMezzalira;P2;;9;LOCATOR_WAIT_FOR;2026-06-29 16:40:01;2026-06-29 16:40:01;0,013;OK;Locator.wait_for;
20260629_163951;RELATORIO_14_RenatoMezzalira_P2;14;RenatoMezzalira;P2;;9;LOCATOR_FILL;2026-06-29 16:40:01;2026-06-29 16:40:01;0,017;OK;Locator.fill(valor_oculto);
20260629_163951;RELATORIO_14_RenatoMezzalira_P2;14;RenatoMezzalira;P2;;9;PAGE_WAIT_TIMEOUT;2026-06-29 16:40:01;2026-06-29 16:40:02;1,013;OK;Page.wait_for_timeout;
20260629_163951;RELATORIO_14_RenatoMezzalira_P2;14;RenatoMezzalira;P2;;9;LOCATOR_WAIT_FOR;2026-06-29 16:40:02;2026-06-29 16:40:02;0,009;OK;Locator.wait_for;
20260629_163951;RELATORIO_14_RenatoMezzalira_P2;14;RenatoMezzalira;P2;;9;LOCATOR_CLICK;2026-06-29 16:40:02;2026-06-29 16:40:02;0,058;OK;Locator.click;
20260629_163951;RELATORIO_14_RenatoMezzalira_P2;14;RenatoMezzalira;P2;;9;PAGE_WAIT_TIMEOUT;2026-06-29 16:40:02;2026-06-29 16:40:07;5,014;OK;Page.wait_for_timeout;
20260629_163951;RELATORIO_14_RenatoMezzalira_P2;14;RenatoMezzalira;P2;;9;PAGE_WAIT_LOAD_STATE;2026-06-29 16:40:07;2026-06-29 16:40:08;0,417;OK;Page.wait_for_load_state;
20260629_163951;RELATORIO_14_RenatoMezzalira_P2;14;RenatoMezzalira;P2;;9;PAGE_WAIT_LOAD_STATE;2026-06-29 16:40:08;2026-06-29 16:40:10;2,419;OK;Page.wait_for_load_state;
20260629_163951;RELATORIO_14_RenatoMezzalira_P2;14;RenatoMezzalira;P2;;9;LOCATOR_WAIT_FOR;2026-06-29 16:40:10;2026-06-29 16:40:10;0,024;OK;Locator.wait_for;
20260629_163951;RELATORIO_14_RenatoMezzalira_P2;14;RenatoMezzalira;P2;;9;LOCATOR_WAIT_FOR;2026-06-29 16:40:10;2026-06-29 16:40:10;0,006;OK;Locator.wait_for;
20260629_163951;RELATORIO_14_RenatoMezzalira_P2;14;RenatoMezzalira;P2;;9;LOCATOR_WAIT_FOR;2026-06-29 16:40:10;2026-06-29 16:40:10;0,006;OK;Locator.wait_for;
20260629_163951;RELATORIO_14_RenatoMezzalira_P2;14;RenatoMezzalira;P2;;9;LOCATOR_WAIT_FOR;2026-06-29 16:40:10;2026-06-29 16:40:10;0,005;OK;Locator.wait_for | OTIMIZADO: overlay APEX: timeout reduzido de 8000ms para 1000ms;
20260629_163951;RELATORIO_14_RenatoMezzalira_P2;14;RenatoMezzalira;P2;;9;PAGE_WAIT_TIMEOUT;2026-06-29 16:40:10;2026-06-29 16:40:13;3,009;OK;Page.wait_for_timeout;
20260629_163951;RELATORIO_14_RenatoMezzalira_P2;14;RenatoMezzalira;P2;;9;LOCATOR_WAIT_FOR;2026-06-29 16:40:13;2026-06-29 16:40:13;0,012;OK;Locator.wait_for;
20260629_163951;RELATORIO_14_RenatoMezzalira_P2;14;RenatoMezzalira;P2;;9;PAGE_WAIT_TIMEOUT;2026-06-29 16:40:13;2026-06-29 16:40:15;1,513;OK;Page.wait_for_timeout;
20260629_163951;RELATORIO_14_RenatoMezzalira_P2;14;RenatoMezzalira;P2;;9;LOCATOR_CLICK;2026-06-29 16:40:15;2026-06-29 16:40:15;0,065;OK;Locator.click;
20260629_163951;RELATORIO_14_RenatoMezzalira_P2;14;RenatoMezzalira;P2;;9;PAGE_WAIT_TIMEOUT;2026-06-29 16:40:15;2026-06-29 16:40:18;3,014;OK;Page.wait_for_timeout;
20260629_163951;RELATORIO_14_RenatoMezzalira_P2;14;RenatoMezzalira;P2;;9;LOCATOR_WAIT_FOR;2026-06-29 16:40:18;2026-06-29 16:40:18;0,011;OK;Locator.wait_for;
20260629_163951;RELATORIO_14_RenatoMezzalira_P2;14;RenatoMezzalira;P2;;9;PAGE_WAIT_TIMEOUT;2026-06-29 16:40:18;2026-06-29 16:40:19;1,017;OK;Page.wait_for_timeout;
20260629_163951;RELATORIO_14_RenatoMezzalira_P2;14;RenatoMezzalira;P2;;9;LOCATOR_CLICK;2026-06-29 16:40:19;2026-06-29 16:40:19;0,042;OK;Locator.click;
20260629_163951;RELATORIO_14_RenatoMezzalira_P2;14;RenatoMezzalira;P2;;9;PAGE_WAIT_TIMEOUT;2026-06-29 16:40:19;2026-06-29 16:40:22;3,01;OK;Page.wait_for_timeout;
