EXECUCAO_ID;RELATORIO;INDICE_ORIGINAL;LIDER;PRIORIDADE;PAGINA;LINHA_TR;INICIO;FIM;TEMPO_TOTAL_LINHA_SEGUNDOS;STATUS_FECHAMENTO;ULTIMO_EVENTO
20260628_212652;RELATORIO_02_Walceir_P2;2;Walceir;P2;;02;2026-06-28 21:26:52;2026-06-28 21:26:52;0,296;FIM_POR_NOVA_LINHA;[AVISO][CONFIGURAÇÃO] Apenas 1 relatório foi carregado. Verifique se o .env usado é o correto e se RELATORIO_02, RELATORIO_03... existem nele.
20260628_212652;RELATORIO_02_Walceir_P2;2;Walceir;P2;1;9;2026-06-28 21:26:52;2026-06-28 21:28:36;103,333;FIM_POR_NOVA_LINHA;[MÉTRICA] LINHA_SEM_EDIT_PLACEHOLDER | relatorio=RELATORIO_02_Walceir_P2 | pagina=1 | origem=tr_child_9 | status=PLACEHOLDER_GERADO | tempo=8.27s
20260628_212652;RELATORIO_02_Walceir_P2;2;Walceir;P2;1;10;2026-06-28 21:28:36;2026-06-28 21:28:45;9,462;FIM_POR_NOVA_LINHA;[MÉTRICA] LINHA_SEM_EDIT_PLACEHOLDER | relatorio=RELATORIO_02_Walceir_P2 | pagina=1 | origem=tr_child_10 | status=PLACEHOLDER_GERADO | tempo=8.33s
20260628_212652;RELATORIO_02_Walceir_P2;2;Walceir;P2;1;11;2026-06-28 21:28:45;2026-06-28 21:28:55;9,676;FIM_POR_NOVA_LINHA;[MÉTRICA] LINHA_SEM_EDIT_PLACEHOLDER | relatorio=RELATORIO_02_Walceir_P2 | pagina=1 | origem=tr_child_11 | status=PLACEHOLDER_GERADO | tempo=8.55s
20260628_212652;RELATORIO_02_Walceir_P2;2;Walceir;P2;1;12;2026-06-28 21:28:55;2026-06-28 21:29:04;9,356;FIM_POR_NOVA_LINHA;[MÉTRICA] LINHA_SEM_EDIT_PLACEHOLDER | relatorio=RELATORIO_02_Walceir_P2 | pagina=1 | origem=tr_child_12 | status=PLACEHOLDER_GERADO | tempo=8.25s
20260628_212652;RELATORIO_02_Walceir_P2;2;Walceir;P2;1;13;2026-06-28 21:29:04;2026-06-28 21:29:14;9,468;FIM_POR_NOVA_LINHA;[MÉTRICA] LINHA_SEM_EDIT_PLACEHOLDER | relatorio=RELATORIO_02_Walceir_P2 | pagina=1 | origem=tr_child_13 | status=PLACEHOLDER_GERADO | tempo=8.33s
20260628_212652;RELATORIO_02_Walceir_P2;2;Walceir;P2;1;14;2026-06-28 21:29:14;2026-06-28 21:29:23;9,332;FIM_POR_NOVA_LINHA;[MÉTRICA] LINHA_SEM_EDIT_PLACEHOLDER | relatorio=RELATORIO_02_Walceir_P2 | pagina=1 | origem=tr_child_14 | status=PLACEHOLDER_GERADO | tempo=8.22s
20260628_212652;RELATORIO_02_Walceir_P2;2;Walceir;P2;1;15;2026-06-28 21:29:23;2026-06-28 21:29:32;9,433;FIM_POR_NOVA_LINHA;[MÉTRICA] LINHA_SEM_EDIT_PLACEHOLDER | relatorio=RELATORIO_02_Walceir_P2 | pagina=1 | origem=tr_child_15 | status=PLACEHOLDER_GERADO | tempo=8.31s
20260628_212652;RELATORIO_02_Walceir_P2;2;Walceir;P2;1;16;2026-06-28 21:29:32;2026-06-28 21:29:42;9,341;FIM_POR_NOVA_LINHA;[MÉTRICA] LINHA_SEM_EDIT_PLACEHOLDER | relatorio=RELATORIO_02_Walceir_P2 | pagina=1 | origem=tr_child_16 | status=PLACEHOLDER_GERADO | tempo=8.21s
20260628_212652;RELATORIO_02_Walceir_P2;2;Walceir;P2;1;17;2026-06-28 21:29:42;2026-06-28 21:29:51;9,487;FIM_POR_NOVA_LINHA;[MÉTRICA] LINHA_SEM_EDIT_PLACEHOLDER | relatorio=RELATORIO_02_Walceir_P2 | pagina=1 | origem=tr_child_17 | status=PLACEHOLDER_GERADO | tempo=8.4s
